trade_date,stock_code,stock_name,board,market,industry,concepts,open,high,low,close,pre_close,pct_change,turnover_amount,turnover_rate,volume,volume_ratio,amplitude,market_cap,float_market_cap,limit_up_status,first_limit_up_time,last_limit_up_time,limit_up_break_count,consecutive_limit_up_count,tail_rise_pct,tail_volume_ratio,close_position_pct,above_vwap_most_day,stepwise_rise_after_1430,break_intraday_high,break_key_resistance,tail_pullback_holds,ma5,ma10,ma20,ma_alignment_up,pullback_to_ma10_or_ma20,close_above_ma5,recent_volume_rank_low,close_gt_open,kdj_low_turn_up,rsi_low_turn_up,theme_limit_up_count,theme_rank,theme_tail_reflow,theme_leader_auction,manual_note,data_source,captured_at,vwap_price,above_intraday_vwap,vwap_signal_source,real_board_limit_up_count,real_theme_limit_up_count,real_tail_volume_confirmed,tail_signal_source,tail_volume_confirmed,universe,universe_eligible,exclude_reason,theme_tags,is_focus_theme,matched_strategies,primary_strategy,candidate_score,score_reasons,pool_raw_level,pool_rank,pool_cap_note,pool_level,entry_reasons,risk_tags,premarket_layer,premarket_detail,intraday_layer,intraday_detail,tail_execution_layer,tail_execution_detail,workflow_summary,buy_point,sell_point,stop_point,first_take_profit_point,strong_follow_rule,defensive_stop_point,moving_take_profit_rule,point_basis,next_day_valid_if,next_day_weak_if,next_day_remove_if
2026-06-16,000564,供销大集,深主板,SZ,F 批发零售,,1.5,1.6,1.46,1.6,1.45,10.34,932666297,2.0,607657964,1.35,9.66,0,0,是,,,0,1,3.62,1.35,100.0,是,是,是,是,是,1.58,1.55,1.5,是,否,是,否,是,否,否,1,27,否,,新浪行情本地股票池快照；股票池来自历史成功采集，尾盘字段为日线快照近似值,sina_hq_universe_snapshot,2026-06-16 17:20:24,1.53,是,成交额/成交量推算,1,1,否,非分钟级数据，尾盘量未确认,否,深主板,是,,,否,S1,S1,20.05,策略信号：S1；接近涨停扣分；量比温和放大；换手处于活跃区间；成交额超过3亿；收盘接近全天高位；风险扣分：接近涨停;高涨幅A池确认不足,,,,,攻击型尾盘突破：尾盘阶梯推升、突破压力、收盘接近高位,接近涨停；高涨幅A池确认不足,未命中,未命中当前重点主题，暂不进入主线优先级,不足,量能承接；分时强于均价线；收盘位置强；形态命中；高涨幅需板块涨停和真实尾盘量确认,不执行,未进入候选池,盘前主题：未命中；盘中验证：不足；尾盘执行：不执行,,,,,,,,,,,
2026-06-16,600052,东望时代,沪主板,SH,电力,电力,3.64,4.02,3.55,4.02,3.65,10.14,115200213,0.8,30160809,1.35,12.88,0,0,是,,,0,1,3.55,1.35,100.0,是,是,是,是,是,3.96,3.9,3.78,是,否,是,否,是,否,否,9,2,是,,新浪行情本地股票池快照；股票池来自历史成功采集，尾盘字段为日线快照近似值,sina_hq_universe_snapshot,2026-06-16 17:19:52,3.82,是,成交额/成交量推算,9,9,否,非分钟级数据，尾盘量未确认,否,沪主板,是,,电力,是,S1,S1,19.05,命中主题：电力；策略信号：S1；接近涨停扣分；量比温和放大；换手偏低扣分；成交额超过1亿；收盘接近全天高位；风险扣分：接近涨停;流动性不足;高涨幅A池确认不足；底层防御：评分 19.05 低于B池最低要求 60，不推荐,B,,,,攻击型尾盘突破：尾盘阶梯推升、突破压力、收盘接近高位；底层防御：评分 19.05 低于B池最低要求 60，不推荐,接近涨停；流动性不足；高涨幅A池确认不足；底层防御：评分 19.05 低于B池最低要求 60，不推荐,通过,命中重点主题：电力,通过,量能承接；分时强于均价线；板块联动；收盘位置强；形态命中；高涨幅需板块涨停和真实尾盘量确认,不执行,未进入候选池,盘前主题：通过；盘中验证：通过；尾盘执行：不执行,,,,,,,,,,,
2026-06-16,002217,合力泰,深主板,SZ,光学光电子,,2.39,2.61,2.36,2.61,2.37,10.13,928960229,2.0,367631100,1.35,10.55,0,0,是,,,0,1,3.55,1.35,100.0,是,是,是,是,是,2.57,2.53,2.45,是,否,是,否,是,否,否,6,5,是,,新浪行情本地股票池快照；股票池来自历史成功采集，尾盘字段为日线快照近似值,sina_hq_universe_snapshot,2026-06-16 17:20:34,2.53,是,成交额/成交量推算,6,6,否,非分钟级数据，尾盘量未确认,否,深主板,是,,,否,S1,S1,20.05,策略信号：S1；接近涨停扣分；量比温和放大；换手处于活跃区间；成交额超过3亿；收盘接近全天高位；风险扣分：接近涨停;高涨幅A池确认不足,,,,,攻击型尾盘突破：尾盘阶梯推升、突破压力、收盘接近高位,接近涨停；高涨幅A池确认不足,未命中,未命中当前重点主题，暂不进入主线优先级,不足,量能承接；分时强于均价线；板块联动；收盘位置强；形态命中；高涨幅需板块涨停和真实尾盘量确认,不执行,未进入候选池,盘前主题：未命中；盘中验证：不足；尾盘执行：不执行,,,,,,,,,,,
2026-06-16,002047,宝鹰股份,深主板,SZ,装修装饰Ⅱ,,4.44,4.58,4.38,4.58,4.16,10.1,67293912,0.8,14824265,1.35,4.81,0,0,是,,,0,1,3.53,1.35,100.0,是,是,是,是,是,4.51,4.44,4.31,是,否,是,否,是,否,否,2,19,否,,新浪行情本地股票池快照；股票池来自历史成功采集，尾盘字段为日线快照近似值,sina_hq_universe_snapshot,2026-06-16 17:20:33,4.54,是,成交额/成交量推算,2,2,否,非分钟级数据，尾盘量未确认,否,深主板,是,,,否,S1,S1,-11.95,策略信号：S1；接近涨停扣分；量比温和放大；换手偏低扣分；收盘接近全天高位；风险扣分：接近涨停;流动性不足;高涨幅A池确认不足,,,,,攻击型尾盘突破：尾盘阶梯推升、突破压力、收盘接近高位,接近涨停；流动性不足；高涨幅A池确认不足,未命中,未命中当前重点主题，暂不进入主线优先级,不足,量能承接；分时强于均价线；收盘位置强；形态命中；高涨幅需板块涨停和真实尾盘量确认,不执行,未进入候选池,盘前主题：未命中；盘中验证：不足；尾盘执行：不执行,,,,,,,,,,,
2026-06-16,002160,常铝股份,深主板,SZ,工业金属,,4.59,4.59,4.59,4.59,4.17,10.07,20567427,0.8,4480921,1.35,0.0,0,0,是,,,0,1,3.52,1.35,100.0,是,是,是,是,是,4.52,4.45,4.31,是,否,是,否,否,否,否,6,6,是,,新浪行情本地股票池快照；股票池来自历史成功采集，尾盘字段为日线快照近似值,sina_hq_universe_snapshot,2026-06-16 17:20:34,4.59,是,成交额/成交量推算,6,6,否,非分钟级数据，尾盘量未确认,否,深主板,是,,,否,S1,S1,-16.95,策略信号：S1；接近涨停扣分；量比温和放大；换手偏低扣分；成交额偏低扣分；收盘接近全天高位；风险扣分：接近涨停;流动性不足;高涨幅A池确认不足,,,,,攻击型尾盘突破：尾盘阶梯推升、突破压力、收盘接近高位,接近涨停；流动性不足；高涨幅A池确认不足,未命中,未命中当前重点主题，暂不进入主线优先级,不足,量能承接；分时强于均价线；板块联动；收盘位置强；形态命中；高涨幅需板块涨停和真实尾盘量确认,不执行,未进入候选池,盘前主题：未命中；盘中验证：不足；尾盘执行：不执行,,,,,,,,,,,
2026-06-16,601636,旗滨集团,沪主板,SH,玻璃玻纤,,7.27,7.88,7.19,7.88,7.16,10.06,1207947772,3.8,157426106,1.8,9.64,0,0,是,,,0,1,3.52,1.8,100.0,是,是,是,是,是,7.76,7.64,7.41,是,否,是,否,是,否,否,5,7,是,,新浪行情本地股票池快照；股票池来自历史成功采集，尾盘字段为日线快照近似值,sina_hq_universe_snapshot,2026-06-16 17:20:07,7.67,是,成交额/成交量推算,5,5,否,非分钟级数据，尾盘量未确认,否,沪主板,是,,,否,S1,S1,25.4,策略信号：S1；接近涨停扣分；量比温和放大；换手处于活跃区间；成交额超过10亿；收盘接近全天高位；风险扣分：接近涨停;高涨幅A池确认不足,,,,,攻击型尾盘突破：尾盘阶梯推升、突破压力、收盘接近高位,接近涨停；高涨幅A池确认不足,未命中,未命中当前重点主题，暂不进入主线优先级,不足,量能承接；分时强于均价线；板块联动；收盘位置强；形态命中；高涨幅需板块涨停和真实尾盘量确认,不执行,未进入候选池,盘前主题：未命中；盘中验证：不足；尾盘执行：不执行,,,,,,,,,,,
2026-06-16,002700,万憬能源,深主板,SZ,燃气Ⅱ,,7.98,8.86,7.8,8.86,8.05,10.06,121746400,0.8,14433900,1.35,13.17,0,0,是,,,0,1,3.52,1.35,100.0,是,是,是,是,是,8.73,8.59,8.33,是,否,是,否,是,否,否,2,20,否,,新浪行情本地股票池快照；股票池来自历史成功采集，尾盘字段为日线快照近似值,sina_hq_universe_snapshot,2026-06-16 17:20:43,8.43,是,成交额/成交量推算,2,2,否,非分钟级数据，尾盘量未确认,否,深主板,是,,,否,S1,S1,-8.95,策略信号：S1；接近涨停扣分；量比温和放大；换手偏低扣分；成交额超过1亿；收盘接近全天高位；风险扣分：接近涨停;流动性不足;高涨幅A池确认不足,,,,,攻击型尾盘突破：尾盘阶梯推升、突破压力、收盘接近高位,接近涨停；流动性不足；高涨幅A池确认不足,未命中,未命中当前重点主题，暂不进入主线优先级,不足,量能承接；分时强于均价线；收盘位置强；形态命中；高涨幅需板块涨停和真实尾盘量确认,不执行,未进入候选池,盘前主题：未命中；盘中验证：不足；尾盘执行：不执行,,,,,,,,,,,
2026-06-16,000679,大连友谊,深主板,SZ,一般零售,,6.07,6.68,5.95,6.68,6.07,10.05,75919659,0.8,11877173,1.35,12.03,0,0,是,,,0,1,3.52,1.35,100.0,是,是,是,是,是,6.58,6.48,6.28,是,否,是,否,是,否,否,1,28,否,,新浪行情本地股票池快照；股票池来自历史成功采集，尾盘字段为日线快照近似值,sina_hq_universe_snapshot,2026-06-16 17:20:26,6.39,是,成交额/成交量推算,1,1,否,非分钟级数据，尾盘量未确认,否,深主板,是,,,否,S1,S1,-11.95,策略信号：S1；接近涨停扣分；量比温和放大；换手偏低扣分；收盘接近全天高位；风险扣分：接近涨停;流动性不足;高涨幅A池确认不足,,,,,攻击型尾盘突破：尾盘阶梯推升、突破压力、收盘接近高位,接近涨停；流动性不足；高涨幅A池确认不足,未命中,未命中当前重点主题，暂不进入主线优先级,不足,量能承接；分时强于均价线；收盘位置强；形态命中；高涨幅需板块涨停和真实尾盘量确认,不执行,未进入候选池,盘前主题：未命中；盘中验证：不足；尾盘执行：不执行,,,,,,,,,,,
2026-06-16,600888,新疆众和,沪主板,SH,工业金属,,11.15,12.49,11.03,12.49,11.35,10.04,1312353474,3.8,109669450,1.8,12.86,0,0,是,,,0,1,3.51,1.8,100.0,是,是,是,是,是,12.3,12.12,11.74,是,否,是,否,是,否,否,6,6,是,,新浪行情本地股票池快照；股票池来自历史成功采集，尾盘字段为日线快照近似值,sina_hq_universe_snapshot,2026-06-16 17:20:03,11.97,是,成交额/成交量推算,6,6,否,非分钟级数据，尾盘量未确认,否,沪主板,是,,,否,S1,S1,25.4,策略信号：S1；接近涨停扣分；量比温和放大；换手处于活跃区间；成交额超过10亿；收盘接近全天高位；风险扣分：接近涨停;高涨幅A池确认不足,,,,,攻击型尾盘突破：尾盘阶梯推升、突破压力、收盘接近高位,接近涨停；高涨幅A池确认不足,未命中,未命中当前重点主题，暂不进入主线优先级,不足,量能承接；分时强于均价线；板块联动；收盘位置强；形态命中；高涨幅需板块涨停和真实尾盘量确认,不执行,未进入候选池,盘前主题：未命中；盘中验证：不足；尾盘执行：不执行,,,,,,,,,,,
2026-06-16,603166,福达股份,沪主板,SH,汽车零部件,,13.32,14.8,13.32,14.8,13.45,10.04,325191115,2.0,22534860,1.35,11.0,0,0,是,,,0,1,3.51,1.35,100.0,是,是,是,是,是,14.58,14.36,13.91,是,否,是,否,是,否,否,3,10,是,,新浪行情本地股票池快照；股票池来自历史成功采集，尾盘字段为日线快照近似值,sina_hq_universe_snapshot,2026-06-16 17:20:11,14.43,是,成交额/成交量推算,3,3,否,非分钟级数据，尾盘量未确认,否,沪主板,是,,,否,S1,S1,20.05,策略信号：S1；接近涨停扣分；量比温和放大；换手处于活跃区间；成交额超过3亿；收盘接近全天高位；风险扣分：接近涨停;高涨幅A池确认不足,,,,,攻击型尾盘突破：尾盘阶梯推升、突破压力、收盘接近高位,接近涨停；高涨幅A池确认不足,未命中,未命中当前重点主题，暂不进入主线优先级,不足,量能承接；分时强于均价线；板块联动；收盘位置强；形态命中；高涨幅需板块涨停和真实尾盘量确认,不执行,未进入候选池,盘前主题：未命中；盘中验证：不足；尾盘执行：不执行,,,,,,,,,,,
