stock_code,stock_name,board,market,industry,concepts,first_seen,last_seen,data_source
600479,千金药业,沪主板,SH,中药Ⅱ,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600480,凌云股份,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600481,双良节能,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600482,中国动力,沪主板,SH,其他电源设备Ⅱ,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600483,福能股份,沪主板,SH,电力,电力,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600486,扬农化工,沪主板,SH,农化制品,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600487,亨通光电,沪主板,SH,通信设备,科技,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600488,津药药业,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600489,中金黄金,沪主板,SH,贵金属,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600490,鹏欣资源,沪主板,SH,工业金属,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600493,凤竹纺织,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600495,晋西车轴,沪主板,SH,轨交设备Ⅱ,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600496,精工钢构,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600497,驰宏锌锗,沪主板,SH,工业金属,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600498,烽火通信,沪主板,SH,通信设备,科技,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600499,XD科达制,沪主板,SH,专用设备,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600500,中化国际,沪主板,SH,化学制品,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600501,航天晨光,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600502,安徽建工,沪主板,SH,基础建设,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600503,华丽家族,沪主板,SH,房地产开发,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600505,西昌电力,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600506,统一股份,沪主板,SH,炼化及贸易,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600507,方大特钢,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600508,上海能源,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600509,天富能源,沪主板,SH,电力,电力,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600510,黑牡丹,沪主板,SH,房地产开发,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600511,国药股份,沪主板,SH,医药商业,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600512,腾达建设,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600513,联环药业,沪主板,SH,化学制药,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600515,海南机场,沪主板,SH,航空机场,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600516,方大炭素,沪主板,SH,冶钢原料,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600517,国网英大,沪主板,SH,多元金融,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600518,康美药业,沪主板,SH,中药Ⅱ,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600519,贵州茅台,沪主板,SH,白酒Ⅱ,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600520,三佳科技,沪主板,SH,专用设备,科技,2026-06-15 17:44:03,2026-06-17 10:03:46,existing_latest_market_data
600521,华海药业,沪主板,SH,化学制药,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600522,中天科技,沪主板,SH,通信设备,科技,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600523,贵航股份,沪主板,SH,汽车零部件,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600526,菲达环保,沪主板,SH,环保设备Ⅱ,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600527,江南高纤,沪主板,SH,纺织制造,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600528,中铁工业,沪主板,SH,基础建设,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600529,山东药玻,沪主板,SH,医疗器械,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600530,交大昂立,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600531,豫光金铅,沪主板,SH,工业金属,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600533,栖霞建设,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600535,天士力,沪主板,SH,中药Ⅱ,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600536,中国软件,沪主板,SH,IT服务Ⅱ,科技,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600538,国发股份,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600539,狮头股份,沪主板,SH,互联网电商,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600540,新赛股份,沪主板,SH,种植业,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600545,卓郎智能,沪主板,SH,专用设备,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600546,山煤国际,沪主板,SH,煤炭开采,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600547,山东黄金,沪主板,SH,贵金属,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600548,深高速,沪主板,SH,铁路公路,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600549,厦门钨业,沪主板,SH,小金属,,2026-06-15 17:44:03,2026-06-17 10:05:32,eastmoney_push2_snapshot
600550,保变电气,沪主板,SH,电网设备,电力,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600551,时代出版,沪主板,SH,出版,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600552,凯盛科技,沪主板,SH,光学光电子,科技,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600553,太行水泥,沪主板,SH,-,,2026-06-17 10:05:32,2026-06-17 10:05:32,eastmoney_push2_snapshot
600556,天下秀,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
