signal_date,theme,source_type,source_name,title,keywords,score,reliability_score,relevance_score,market_confirm_score,freshness_score,risk_penalty,direction,raw_value,note,captured_at
2026-06-17,半导体,overseas_market,Yahoo Finance 海外行情映射,隔夜海外映射偏强：博通+4.30%、台积电ADR+1.48%、费城半导体指数+1.38%,半导体;芯片;封测;先进封装;设备;存储;算力,4.63,2.4,1.6,,1.0,0,positive,^SOX:+1.38%;SMH:+1.29%;NVDA:-1.33%;AMD:+1.02%;AVGO:+4.30%;TSM:+1.48%,海外映射只做辅助排序，不直接构成A池买点,2026-06-18 11:26:12
2026-06-17,PCB,overseas_market,Yahoo Finance 海外行情映射,隔夜海外映射偏强：博通+4.30%、半导体ETF+1.29%,PCB;覆铜板;高速板;HDI;载板;AI服务器,4.52,2.4,1.6,,1.0,0,positive,SMH:+1.29%;AVGO:+4.30%;NVDA:-1.33%,海外映射只做辅助排序，不直接构成A池买点,2026-06-18 11:26:12
2026-06-17,商业航天,overseas_market,Yahoo Finance 海外行情映射,隔夜海外映射偏强：美国航空航天与国防ETF+1.37%,商业航天;卫星;航天;低轨卫星;军工电子,3.24,2.4,1.6,,1.0,0,positive,ITA:+1.37%;ARKX:-0.69%;LMT:-0.68%,海外映射只做辅助排序，不直接构成A池买点,2026-06-18 11:26:12
2026-06-10,科技,market,A股板块承接,A股板块承接：涨停扩散9，主题排名1,AI;算力;数据中心;云计算;服务器;通信;消费电子,3.00,2.2,,3.00,1.0,0,positive,limit_up=9;rank=1;reflow=68,仅验证主题有资金承接，不能替代个股量价规则,2026-06-18 11:26:26
2026-06-10,电力,market,A股板块承接,A股板块承接：涨停扩散9，主题排名1,电力;绿电;储能;电网;特高压;清洁能源,3.00,2.2,,3.00,1.0,0,positive,limit_up=9;rank=1;reflow=2,仅验证主题有资金承接，不能替代个股量价规则,2026-06-18 11:26:26
2026-06-10,半导体,market,A股板块承接,A股板块承接：涨停扩散9，主题排名1,半导体;芯片;封测;先进封装;设备;存储;算力,3.00,2.2,,3.00,1.0,0,positive,limit_up=9;rank=1;reflow=2,仅验证主题有资金承接，不能替代个股量价规则,2026-06-18 11:26:26
2026-06-10,商业航天,market,A股板块承接,A股板块承接：涨停扩散9，主题排名1,商业航天;卫星;航天;低轨卫星;军工电子,2.30,2.2,,2.30,1.0,0,positive,limit_up=9;rank=1;reflow=0,仅验证主题有资金承接，不能替代个股量价规则,2026-06-18 11:26:26
